year,medianHI,IncarcerationRate,total_pop
2003,178,3.0444824379855426e-3,933492
2003,190,3.884308210143188e-3,1986969
2003,175,4.108155066419473e-3,1201756
2003,194,5.026792972443884e-3,241108
2003,183,5.3805868426716405e-3,153329
2003,184,5.863126867317679e-3,249355
2003,256,9.484824281150159e-4,220352
2004,85,1.2467897827175755e-3,1219933
2004,83,2.012460170059134e-3,960019
2004,84,2.5928829923535734e-3,1512602
2004,83,3.186472758804758e-3,1716004
2004,84,3.818795061754896e-3,1863415
2004,82,4.385589807133495e-3,1005566
2004,82,4.877006323784248e-3,2278857
2004,84,5.578585901876321e-3,1689317
2004,83,6.37028076852134e-3,2759533
2004,82,1.038392453806601e-2,6979731
2004,96,1.3759819123061441e-3,1360483
2004,97,2.035026395489424e-3,2004888
2004,97,2.6673929237990726e-3,2496820
2004,97,3.2783160832822707e-3,3327623
2004,94,3.754412572893126e-3,3975855
2004,98,4.318274043013662e-3,1478600
2004,98,4.924797094369714e-3,1754387
2004,95,5.616238619086646e-3,1541067
2004,97,6.357494378942926e-3,3298312
2004,98,9.101308611015753e-3,3839338
2004,95,0.22033898305084745,531
2004,105,1.4339887192887416e-3,1161097
2004,105,2.095125704178208e-3,1486307
2004,105,2.702509552451929e-3,1441253
2004,105,3.134569183385112e-3,897412
2004,106,3.8723680357378686e-3,1741570
2004,106,4.293108109847949e-3,1553420
2004,104,4.9616613774142925e-3,3054622
2004,104,5.675863387161179e-3,2642065
2004,106,6.350176851395724e-3,3156605
2004,104,8.153400387733769e-3,6841808
2004,110,1.1719118117700627e-3,1071753
2004,111,1.8939605507820078e-3,984709
2004,111,2.6348529558020556e-3,3690149
2004,110,3.1837180002368378e-3,1545363
2004,111,3.80946242845749e-3,868889
2004,110,4.382907762621539e-3,1360056
2004,111,4.6903590084241675e-3,1655950
2004,111,5.480962659890912e-3,3389733
2004,111,6.491546412008397e-3,3786617
2004,111,8.472326917155932e-3,5086206
2004,115,1.3042148626526832e-3,222356
2004,114,2.07571606798835e-3,462491
2004,115,2.546581301814003e-3,487320
2004,115,3.1203991699034735e-3,1393091
2004,115,3.7945253553254956e-3,273552
2004,114,4.339740110469014e-3,1252840
2004,115,4.725881255808175e-3,7373228
2004,115,5.628563227598401e-3,9793263
2004,115,5.94264034872805e-3,2061205
2004,114,7.1532653331567095e-3,7549
2004,119,1.2527443060885888e-3,238676
2004,119,2.0728683156355314e-3,943620
2004,118,2.585351076879703e-3,2333919
2004,118,3.145049387670246e-3,1240998
2004,120,3.8302432840426684e-3,1918416
2004,120,4.499230280813044e-3,9463841
2004,118,4.909648336711434e-3,2660272
2004,117,5.439702375695487e-3,1087008
2004,119,6.364566922472736e-3,3073422
2004,120,7.388153526677874e-3,70789
2004,125,1.3134267033365547e-3,1596587
2004,127,1.9574259848299485e-3,1708366
2004,125,2.633994368594587e-3,1931667
2004,125,3.1412567630303583e-3,2304810
2004,123,3.8582245413777794e-3,5212242
2004,125,4.378952756973375e-3,1047054
2004,126,4.958659363749564e-3,2435739
2004,125,5.376380060220809e-3,2989000
2004,127,6.126736023902577e-3,5056526
2004,125,8.022577958730452e-3,648420
2004,135,1.4309993885982244e-3,1440951
2004,137,2.1127975699103863e-3,1611134
2004,137,2.475258552430403e-3,4938070
2004,135,3.134010112512562e-3,3752381
2004,138,3.719034680830683e-3,4896163
2004,137,4.2714691833701315e-3,3464850
2004,135,4.92093561488806e-3,2118906
2004,135,5.645224888935622e-3,152164
2004,133,6.928315964647823e-3,382777
2004,133,8.222971747187122e-3,270097
2004,159,1.3317146929319884e-3,2811413
2004,151,2.0526913886150856e-3,8388012
2004,151,2.630770553654134e-3,3128361
2004,153,3.166212384020264e-3,6210891
2004,152,4.022032092859282e-3,1055188
2004,151,4.365970763875383e-3,1681413
2004,150,4.699179469698814e-3,123213
2004,149,6.742887881204377e-3,211927
2004,188,1.2934805388335091e-3,11652282
2004,186,1.8904308607003346e-3,5827243
2004,183,2.481153418087384e-3,1649636
2004,171,3.1694939694028013e-3,1074935
2004,185,3.702878027957529e-3,2000606
2004,170,4.1645312682854e-3,1486842
2004,192,5.0685114550181e-3,329288
2004,181,5.6357588089009465e-3,61926
2004,178,6.144154578454498e-3,283196
2004,251,1.0666299654205447e-3,232508
2005,83,1.275358225619255e-3,906412
2005,84,2.221604746571648e-3,1529525
2005,82,2.711445921358373e-3,1547145
2005,84,3.343580331698839e-3,1684721
2005,80,3.949544741555617e-3,3558638
2005,79,4.5029292904260896e-3,1089513
2005,81,5.1132296044319485e-3,3177835
2005,83,5.827036447987841e-3,1318509
2005,84,6.786709573355266e-3,3130825
2005,84,1.0570400801572694e-2,7224797
2005,88,0.1839080459770115,522
2005,98,1.4524865793637696e-3,1648208
2005,96,2.083354117969487e-3,1703983
2005,98,2.770694637185471e-3,1884365
2005,97,3.3874962646593663e-3,5079858
2005,97,3.987826634484206e-3,1743807
2005,96,4.497366054414288e-3,1327666
2005,97,5.007652181042405e-3,2341816
2005,97,5.893231002350261e-3,2275492
2005,96,6.517588472833925e-3,2573191
2005,98,9.901944505080017e-3,4823901
2005,105,1.3989530750181025e-3,1157294
2005,106,2.095853035872512e-3,1139870
2005,105,2.739075770405152e-3,1247136
2005,104,3.3419975149604226e-3,1444645
2005,106,3.9472697306164265e-3,2573171
2005,106,4.531792366230478e-3,1310519
2005,105,5.131235552904332e-3,2682200
2005,107,5.731944056430676e-3,3908796
2005,105,6.8253945438463215e-3,4661269
2005,106,8.505063507774883e-3,5130238
2005,112,1.346984161221583e-3,1344485
2005,112,2.237098369258093e-3,1585536
2005,110,2.772723572495638e-3,3636136
2005,111,3.2458584462301435e-3,1386074
2005,111,3.912208721266635e-3,760440
2005,112,4.535721277364382e-3,2477445
2005,111,5.178563715353587e-3,2755011
2005,112,5.828164724489729e-3,612028
2005,111,6.689684513971702e-3,5605795
2005,112,9.026436596315883e-3,3796404
2005,118,1.3973299824499416e-3,1378343
2005,121,2.1342819445721423e-3,2142641
2005,119,2.7054442138959903e-3,2055485
2005,121,3.2874632862762167e-3,2779955
2005,119,3.8949958743793697e-3,3707321
2005,120,4.506423799125346e-3,1689810
2005,119,4.964013785080485e-3,4506031
2005,119,5.65949788778143e-3,817387
2005,119,6.649604938565861e-3,3356440
2005,116,8.47532936246044e-3,4219895
2005,126,1.2346866632359438e-3,1070717
2005,126,2.297979199734666e-3,168844
2005,126,2.6341882171114434e-3,2532469
2005,127,3.319414509940946e-3,578114
2005,126,4.020373264517791e-3,869571
2005,126,4.621720845576131e-3,160979
