County,year,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,Crimes,Offenses,EstPopulation
"Morgan",2015,131,775,238,1013,"Misdemeanor",352,303,49,230,187,43,582,1167,1139,28480
"Morgan",2015,323,169,81,250,"Felony",98,77,21,78,59,19,176,1167,1139,28480
"Morgan",2016,132,693,247,940,"Misdemeanor",319,279,40,231,194,37,550,1150,1120,28480
"Morgan",2016,324,207,90,297,"Felony",108,81,27,89,64,25,197,1150,1120,28480
"Otero",2014,133,479,157,636,"Misdemeanor",369,290,79,161,132,29,530,794,783,18759
"Otero",2014,325,139,65,204,"Felony",99,76,23,64,45,19,163,794,783,18759
"Otero",2015,134,376,228,604,"Misdemeanor",312,253,59,191,159,32,503,910,906,18454
"Otero",2015,326,171,53,224,"Felony",136,88,48,51,35,16,187,910,906,18454
"Otero",2016,135,210,305,515,"Misdemeanor",180,135,45,241,208,33,421,914,890,18454
"Otero",2016,327,153,65,218,"Felony",109,79,30,64,48,16,173,914,890,18454
"Ouray",2014,136,88,19,107,"Misdemeanor",68,60,8,13,10,3,81,37,37,4608
"Ouray",2014,328,14,2,16,"Felony",8,6,2,2,2,NA,10,37,37,4608
"Ouray",2015,137,79,14,93,"Misdemeanor",46,41,5,13,12,1,59,74,64,4689
"Ouray",2015,329,15,2,17,"Felony",12,9,3,3,2,1,15,74,64,4689
"Ouray",2016,138,99,13,112,"Misdemeanor",60,51,9,13,11,2,73,40,40,4689
"Ouray",2016,330,22,2,24,"Felony",19,15,4,3,2,1,22,40,40,4689
"Park",2014,139,313,66,379,"Misdemeanor",232,211,21,73,67,6,305,201,194,16176
"Park",2014,331,53,13,66,"Felony",38,31,7,17,15,2,55,201,194,16176
"Park",2015,140,292,84,376,"Misdemeanor",172,158,14,96,88,8,268,210,207,16426
"Park",2015,332,61,17,78,"Felony",52,42,10,19,14,5,71,210,207,16426
"Park",2016,141,251,105,356,"Misdemeanor",154,139,15,103,92,11,257,229,228,16426
"Park",2016,333,56,11,67,"Felony",43,40,3,11,9,2,54,229,228,16426
"Phillips",2014,142,39,5,44,"Misdemeanor",27,21,6,5,4,1,32,91,86,4356
"Phillips",2014,334,12,NA,12,"Felony",9,7,2,NA,NA,NA,9,91,86,4356
