urbanicity,year,medianHI,IncarcerationRate,total_pop
"suburban",2011,68,0.5489704936360601,937391
"suburban",2011,103,0.3467588891132178,11030431
"suburban",2012,109,0.35372395234667453,14450534
"suburban",2012,80,0.46741442275561224,3863381
"suburban",2012,94,0.3795451322599375,17086769
"suburban",2012,173,0.11698492004607289,2107964
"suburban",2012,69,0.5510864308833399,1280017
"suburban",2012,157,0.17963142056552225,4372843
"suburban",2012,194,0.12226302932176068,421223
"suburban",2012,144,0.15432054434900677,11487777
"suburban",2012,127,0.22408066997030995,12915438
"suburban",2012,168,0.13113355019786188,1635737
"suburban",2013,145,0.14008868989873785,9209166
"suburban",2013,118,0.2926731781047118,12619537
"suburban",2013,192,0.11689653878228043,2184838
"suburban",2013,155,0.2011155965187909,2335970
"suburban",2013,104,0.34770947345180686,12229175
"suburban",2013,167,0.13807101666188726,4198564
"suburban",2013,72,0.5642017497269184,3093397
"suburban",2013,93,0.3732055647164548,11088795
"suburban",2013,132,0.18965742732454477,10291714
"suburban",2013,85,0.44898963416195464,7185912
"suburban",2014,105,0.32879169398460056,13005803
"suburban",2014,187,0.12616688021337238,305944
"suburban",2014,79,0.5154913601799024,3136813
"suburban",2014,158,0.1176277911723183,2411845
"suburban",2014,147,0.13020194296891927,6540609
"suburban",2014,68,0.5484412779053082,915686
"suburban",2014,91,0.39361364825080436,14060234
"suburban",2014,135,0.18781402096399374,10149402
"suburban",2014,121,0.2815495292617798,10577535
"suburban",2014,173,0.146362866705017,2491069
"urban",1989,0,NaN,0
"urban",1989,0,NaN,0
"urban",1989,0,NaN,0
"urban",1989,0,NaN,0
"urban",1989,0,NaN,0
"urban",1989,0,NaN,0
"urban",1989,0,NaN,0
"urban",1989,0,NaN,0
"urban",1989,0,NaN,0
"urban",1989,100,0.38463712346844575,46566748
"urban",1995,0,NaN,0
"urban",1995,0,NaN,0
"urban",1995,0,NaN,0
"urban",1995,0,NaN,0
"urban",1995,0,NaN,0
"urban",1995,71,1.0624279545778517,3563724
"urban",1995,129,0.2744704227681787,7811042
"urban",1995,152,0.3153130148425988,2114724
"urban",1995,105,0.5127943918502275,26837657
"urban",1995,93,0.5571777376708857,32800126
"urban",1997,0,NaN,0
"urban",1997,0,NaN,0
"urban",1997,0,NaN,0
"urban",1997,0,NaN,0
"urban",1997,0,NaN,0
"urban",1997,0,NaN,0
"urban",1997,0,NaN,0
"urban",1997,0,NaN,0
"urban",1997,0,NaN,0
"urban",1997,101,0.5255161696589328,66538200
"urban",1998,0,NaN,0
"urban",1998,0,NaN,0
"urban",1998,0,NaN,0
"urban",1998,0,NaN,0
"urban",1998,0,NaN,0
"urban",1998,0,NaN,0
"urban",1998,0,NaN,0
"urban",1998,0,NaN,0
"urban",1998,0,NaN,0
"urban",1998,102,0.5400247819072364,65943270
"urban",1999,0,NaN,0
"urban",1999,0,NaN,0
"urban",1999,0,NaN,0
"urban",1999,0,NaN,0
"urban",1999,0,NaN,0
"urban",1999,0,NaN,0
"urban",1999,0,NaN,0
"urban",1999,0,NaN,0
"urban",1999,0,NaN,0
"urban",1999,105,0.5311163503203112,67525882
"urban",2000,0,NaN,0
"urban",2000,0,NaN,0
"urban",2000,0,NaN,0
"urban",2000,0,NaN,0
"urban",2000,130,0.2894323907310843,8701514
"urban",2000,172,0.3766517531994589,1874145
"urban",2000,83,0.5482451210465253,5115595
"urban",2000,71,1.21336482064433,2942561
"urban",2000,100,0.5504041892366486,40643586
"urban",2000,112,0.4172213428043174,9851845
"urban",2001,107,0.470714144288624,7439547
"urban",2001,91,0.6659843392792193,6502255
"urban",2001,86,0.7179564254787821,2248883
"urban",2001,101,0.49083410999283006,18604249
"urban",2001,114,0.3853731465012399,4928989
"urban",2001,135,0.3226907995039041,787751
"urban",2001,129,0.2733465522381559,8013271
"urban",2001,170,0.3835572391970478,1878468
"urban",2001,97,0.5479180193062856,16607959
"urban",2001,72,0.862030419387778,5210953
"urban",2002,0,NaN,0
"urban",2002,0,NaN,0
"urban",2002,0,NaN,0
"urban",2002,0,NaN,0
"urban",2002,0,NaN,0
"urban",2002,0,NaN,0
"urban",2002,0,NaN,0
"urban",2002,0,NaN,0
"urban",2002,0,NaN,0
"urban",2002,104,0.515846576387885,73997971
